Significant Disease	Temperature (C)	Humidity	Precipitation (cm/week)
-1	20	81	0.51
-1	20	76	1.1
-1	20	81	2.31
-1	21	80	6.73
-1	22.7	77	2.24
-1	22.4	85	8.13
-1	20.4	76	0.47
-1	23.9	48	0.2
-1	22.2	71	0.025
-1	21.1	82	0
-1	19.4	81	0
-1	25.5	56	0.1
-1	30	59	0
-1	31.1	42	0.1
-1	27.8	64	2.7
-1	32.2	44	11.2
-1	27.2	75	0.8
-1	27.8	80	2.2
-1	27.8	66	5.4
-1	26.7	72	0.8
-1	27.8	71	3
-1	27.7	70	1
-1	31.1	65	7.7
-1	26.7	78	4.3
-1	25.5	84	3
-1	27.2	78	12.8
-1	27.8	72	2.2
-1	27.2	65	0.5
-1	25.5	55	0.1
-1	27.8	53	0.3
-1	26.7	52	0.1
-1	17.8	67	0.2
