Significant Disease	Temperature (C)	Humidity	Precipitation (cm/week)
1	20	79	0.15	
1	20	82	1	
1	20	79	0.1
1	20	81	0.76
1	19	78	0
1	20	80	0.66	
1	20	78	0.7
1	20	79	0.6
1	20	83	2.64
1	20.5	74	0.315
1	21.2	80	0.52
1	21.7	71	0.61
1	23	79	5.92
1	22.4	84	5.68
1	22.3	74	4.19
1	22.2	87	4.99
1	21.3	77	5.53
1	19.9	73	0.6
0	22.2	94	0.03
0	22.2	70	0.61
0	22.8	50	0
0	22.8	73	0.076
0	21.1	79	0
0	21.1	86	0
0	19.4	85	0
0	20.6	83	0
0	27.7	55	0.2
0	27.7	48	0.3
0	26.7	62	0.1
0	26.6	65	0.1
0	27.8	55	0.1
0	27.8	61	0.1
0	28.9	44	0.2
0	28.3	46	0.2
0	28.3	50	0.1
0	30	55	0.2
1	28.9	54	0.3
1	28.9	49	0.32
1	29.5	63	0.32
1	31.5	61	4.4
1	30	62	0.5
1	30	57	3.3
1	30	62	0.1
1	26.7	79	0.7
1	28.8	69	0.2
1	26.7	80	0.4
1	27.8	67	4.1
1	27.8	82	0.18
1	28.9	77	3.6
1	27.8	65	0.14
1	26.7	82	0.15
1	27.2	56	0.7
1	29.5	63	4.4
1	28.9	54	4.4
1	27.7	72	0.4
1	26.7	77	2.6
1	27.2	83	4.1
1	24.4	91	0.5
1	26.6	75	2.5
1	27.8	80	4.2
1	28.9	77	4.1
1	25.5	90	4.1
1	26.7	78	2.2
1	28.9	73	2.3
1	27.2	60	5.2
1	26.1	63	0.2
1	26.1	76	1.2
1	27.2	52	1.4
1	26.7	63	0.4
1	27.8	50	0.7
0	27.2	64	0.3
0	26.7	50	0.1
0	27.8	56	0
0	27.2	51	0.2
1	17.8	66	0.71
1	17.2	61	0.33
1	15.6	75	0.23
1	16.7	73	0.2
